iter	RMSE
538	1998517.886
539	1997698.901
540	1997309.756
541	1997243.156
542	1996933.159
543	1995858.883
544	1995271.421
545	1994657.45
546	1994176.624
547	1993049.808
548	1992818.739
549	1992005.939
550	1991426.319
551	1990984.636
552	1990296.621
553	1989277.314
554	1988473.037
555	1987381.095
556	1987261.24
557	1986772.743
558	1985999.783
559	1985453.138
560	1984628.89
561	1983709.586
562	1982733.614
563	1982431.584
564	1981503.115
565	1981084.759
566	1980127.582
567	1979143.103
568	1978483.432
569	1978079.801
570	1977364.487
571	1976885.262
572	1976273.302
573	1975978.548
574	1974766.212
575	1974358.205
576	1973734.488
577	1973702.302
578	1972755.006
579	1971903.239
580	1970794.203
581	1970092.303
582	1969996.248
583	1969453.05
584	1968994.956
585	1967945.3
586	1967398.745
587	1966741.904
588	1965591.45
589	1964923.509
590	1964841.44
591	1964158.762
592	1963242.69
593	1963203.968
594	1962772.684
595	1962108.292
596	1961693.639
597	1961627.776
598	1961005.714
599	1960505.966
600	1959969.482
601	1959295.085
602	1959003.224
603	1958402.294
604	1957560.775
605	1956983.532
606	1956145.696
607	1955974.441
608	1955248.979
609	1955027.946
610	1954275.142
611	1954244.942
612	1953952.949
613	1953614.07
614	1953157.484
615	1952652.749
616	1951959.633
617	1951558.045
618	1951146.761
619	1949832.496
620	1949346.697
621	1948690.437
622	1948240.863
623	1947751.199
624	1947378.282
625	1946978.275
626	1945583.871
627	1945129.508
628	1944383.298
629	1943983.223
630	1943275.944
631	1942528.574
632	1941852.957
633	1941207.363
634	1940550.033
635	1939722.723
636	1939004.693
637	1938804.313
638	1938389.423
639	1937463.055
640	1937260.031
641	1936714.523
642	1936035.298
643	1935330.265
644	1934627.465
645	1933947.608
646	1933398.331
647	1932949.708
648	1932158.423
649	1931858.654
650	1931336.671
651	1930614.87
652	1930190.895
653	1930068.175
654	1929710.066
655	1928521.327
656	1927896.015
657	1927433.485
658	1926808.064
659	1926148.724
660	1925756.666
661	1925500.728
662	1924195.967
663	1924169.318
664	1923539.167
665	1922820.903
666	1922167.226
667	1921122.572
668	1920439.673
669	1919821.487
670	1919317.165
671	1919125.007
672	1918802.497
673	1918542.794
674	1917836.99
675	1917226.092
676	1916715.326
677	1916121.92
678	1915559.888
679	1915226.347
680	1914468.98
681	1913865.203
682	1913025.179
683	1912610.335
684	1912004.752
685	1911073.1
686	1910796.005
687	1910061.809
688	1909833.728
689	1909309.045
690	1908422.338
691	1907529.201
692	1907065.01
693	1906640.844
694	1905889.16
695	1905336.548
696	1904858.671
697	1904183.886
698	1903421.36
699	1902857.585
700	1902580.173
701	1901540.884
702	1900879.221
703	1899872.731
704	1899502.031
705	1899225.196
706	1898270.991
707	1897823.512
708	1896818.478
709	1896482.871
710	1895920.533
711	1895527.407
712	1894906.929
713	1894391.328
714	1894221.824
715	1893640.787
716	1893121.409
717	1892729.501
718	1892409.812
719	1891753.039
720	1891242.991
721	1890724.324
722	1890364.498
723	1889880.888
724	1889492.098
725	1888703.858
726	1888259.503
727	1888041.56
728	1887652.549
729	1887323.993
730	1886703.832
731	1885688.271
732	1884964.227
733	1884633.575
734	1884217.112
735	1883673.072
736	1882776.529
737	1882293.194
738	1881721.657
739	1881142.44
740	1880358.728
741	1879624.176
742	1879065.729
743	1878775.455
744	1878454.287
745	1877798.443
746	1876980.942
747	1876546.412
748	1876157.02
749	1875198.401
750	1874793.73
751	1874145.214
752	1873752.493
753	1873260.534
754	1872462.297
755	1871942.553
756	1871469.112
757	1870844.173
758	1870127.634
759	1869210.105
760	1868848.767
761	1868369.861
762	1867964.598
763	1867184.94
764	1866406.937
765	1865980.625
766	1865471.536
767	1864879.252
768	1864226.626
769	1863921.443
770	1863313.476
771	1862941.347
772	1862328.581
773	1861907.813
774	1861884.616
775	1861590.052
776	1861296.347
777	1860440.794
778	1859735.084
779	1858974.649
780	1858657.542
781	1857908.397
782	1856716.049
783	1856325.523
784	1856301.289
785	1855666.363
786	1854782.011
787	1854362.643
788	1853673.859
789	1853060.52
790	1852558.016
791	1851727.103
792	1850956.815
793	1850271.888
794	1849710.831
795	1849118.055
796	1848370.727
797	1847875.669
798	1847223.331
799	1846563.38
800	1846298.43
801	1845664.509
802	1844982.449
803	1844365.349
804	1843753.903
805	1843061.324
806	1842769.767
807	1842306.721
808	1842015.598
809	1841193.099
810	1840654.524
811	1840213.261
812	1839740.332
813	1839503.015
814	1839173.559
815	1838986.521
816	1838511.599
817	1837936.548
818	1837230.478
819	1836807.024
820	1836333.244
821	1836064.919
822	1836011.86
823	1835504.359
824	1835046.846
825	1834638.15
826	1834521.881
827	1834034.877
828	1833370.273
829	1832942.556
830	1832484.732
831	1832201.202
832	1831615.169
833	1831231.676
834	1830655.992
835	1830035.787
836	1829714.548
837	1829061.621
838	1828769.043
839	1827878.596
840	1827395.601
841	1827064.221
842	1826510.176
843	1826049.411
844	1825696.083
845	1825156.491
846	1824750.918
847	1824350.24
848	1824080.532
849	1823647.996
850	1823227.322
851	1822429.632
852	1822019.549
853	1821453.566
854	1821137.067
855	1820581.377
856	1820198.519
857	1819862.476
858	1819597.11
859	1818979.558
860	1818577.586
861	1818188.704
862	1817958.325
863	1817758.822
864	1817331.547
865	1816850.116
866	1816818.675
867	1816615.929
868	1816445.401
869	1815926.327
870	1815503.071
871	1814967.485
872	1814950.421
873	1814589.411
874	1814321.761
875	1813725.795
876	1813478.175
877	1813130.48
878	1812020.382
879	1811649.863
880	1811412.238
881	1810958.415
882	1810558.165
883	1810088.587
884	1809669.527
885	1808915.907
886	1808400.435
887	1807767.992
888	1807107.569
889	1806800.489
890	1806255.38
891	1805653.873
892	1805064.77
893	1804709.719
894	1804205.363
895	1803952.02
896	1803433.204
897	1802863.455
898	1802232.721
899	1801826.952
900	1801438.679
901	1801422.611
902	1800943.223
903	1800611.436
904	1799997.382
905	1799734.041
906	1799378.34
907	1799034.211
908	1798413.319
909	1797823.734
910	1797658.728
911	1797376.296
912	1796789.828
913	1796259.447
914	1795642.374
915	1795287.786
916	1794653.785
917	1794295.48
918	1793937.707
919	1793157.137
920	1792750.889
921	1792460.837
922	1791936.229
923	1791478.67
924	1791310.177
925	1790682.667
926	1790201.25
927	1790046.97
928	1789579.795
929	1789369.454
930	1789017.285
931	1788594.923
932	1788217.622
933	1787966.147
934	1787490.877
935	1787201.028
936	1786671.292
937	1786525.265
938	1785705.825
939	1785254.934
940	1784833.315
941	1784653.289
942	1784229.482
943	1783695.939
944	1783343.433
945	1782541.964
946	1781921.471
947	1781049.691
948	1780705.652
949	1780321.005
950	1779864.278
951	1779711.72
952	1779405.498
953	1778982.094
954	1778223.834
955	1777408.974
956	1777063.146
957	1776634.351
958	1776407.765
959	1775911.771
960	1775630.832
961	1775108.135
962	1774501.783
963	1774024.753
964	1773564.148
965	1773098.088
966	1772557.528
967	1772219.316
968	1771863.874
969	1771533.17
970	1771114.646
971	1770721.326
972	1770596.844
973	1770221.924
974	1769989.557
975	1769417.969
976	1768925.989
977	1768438.389
